source_template_id,target_template_id,source_service,source_component,target_service,target_component,score_cos,score_rag,hybrid_score
25,3,nova.compute,nova.compute.manager,nova.compute,nova.compute.manager,0.9595578799367224,0.9191155731678009,0.8819445908057204
2,10,"nova.compute, nova.virt, nova.scheduler","nova.compute.manager, nova.virt.libvirt.imagecache, nova.compute.resource_tracker, nova.scheduler.host_manager","nova.compute, nova.virt, nova.scheduler","nova.compute.manager, nova.virt.libvirt.imagecache, nova.compute.resource_tracker, nova.scheduler.host_manager",0.9999999705967603,1.0,0.9999999705967603
2,16,"nova.compute, nova.virt, nova.scheduler","nova.compute.manager, nova.virt.libvirt.imagecache, nova.compute.resource_tracker, nova.scheduler.host_manager","nova.compute, nova.virt, nova.scheduler","nova.compute.manager, nova.virt.libvirt.imagecache, nova.compute.resource_tracker, nova.scheduler.host_manager",0.9999999705967603,1.0,0.9999999705967603
10,2,"nova.compute, nova.virt, nova.scheduler","nova.compute.manager, nova.virt.libvirt.imagecache, nova.compute.resource_tracker, nova.scheduler.host_manager","nova.compute, nova.virt, nova.scheduler","nova.compute.manager, nova.virt.libvirt.imagecache, nova.compute.resource_tracker, nova.scheduler.host_manager",0.9999999705967603,1.0,0.9999999705967603
10,16,"nova.compute, nova.virt, nova.scheduler","nova.compute.manager, nova.virt.libvirt.imagecache, nova.compute.resource_tracker, nova.scheduler.host_manager","nova.compute, nova.virt, nova.scheduler","nova.compute.manager, nova.virt.libvirt.imagecache, nova.compute.resource_tracker, nova.scheduler.host_manager",0.9999999705967603,1.0,0.9999999705967603
16,2,"nova.compute, nova.virt, nova.scheduler","nova.compute.manager, nova.virt.libvirt.imagecache, nova.compute.resource_tracker, nova.scheduler.host_manager","nova.compute, nova.virt, nova.scheduler","nova.compute.manager, nova.virt.libvirt.imagecache, nova.compute.resource_tracker, nova.scheduler.host_manager",0.9999999705967603,1.0,0.9999999705967603
16,10,"nova.compute, nova.virt, nova.scheduler","nova.compute.manager, nova.virt.libvirt.imagecache, nova.compute.resource_tracker, nova.scheduler.host_manager","nova.compute, nova.virt, nova.scheduler","nova.compute.manager, nova.virt.libvirt.imagecache, nova.compute.resource_tracker, nova.scheduler.host_manager",0.9999999705967603,1.0,0.9999999705967603
5,22,nova.virt,nova.virt.libvirt.imagecache,nova.virt,nova.virt.libvirt.imagecache,0.851775217590469,0.7035502195358276,0.5992666413309519
5,4,nova.virt,nova.virt.libvirt.imagecache,nova.virt,nova.virt.libvirt.imagecache,0.8403106002514029,0.680620938539505,0.5719329894078047
22,5,nova.virt,nova.virt.libvirt.imagecache,nova.virt,nova.virt.libvirt.imagecache,0.851775217590469,0.7035502195358276,0.5992666413309519
22,4,nova.virt,nova.virt.libvirt.imagecache,nova.virt,nova.virt.libvirt.imagecache,0.8291781403341898,0.6583561301231384,0.5458945116531178
4,5,nova.virt,nova.virt.libvirt.imagecache,nova.virt,nova.virt.libvirt.imagecache,0.8403106002514029,0.680620938539505,0.5719329894078047
4,22,nova.virt,nova.virt.libvirt.imagecache,nova.virt,nova.virt.libvirt.imagecache,0.8291781403341898,0.6583561301231384,0.5458945116531178
3,25,nova.compute,nova.compute.manager,nova.compute,nova.compute.manager,0.9595578799367224,0.9191155731678009,0.8819445908057204
13,14,"nova.compute, nova.virt","nova.compute.manager, nova.compute.claims, nova.virt.libvirt.driver","nova.compute, nova.virt","nova.compute.manager, nova.compute.claims, nova.virt.libvirt.driver",1.0000000327484677,1.0,1.0000000327484677
13,19,"nova.compute, nova.virt","nova.compute.manager, nova.compute.claims, nova.virt.libvirt.driver","nova.compute, nova.virt","nova.compute.manager, nova.compute.claims, nova.virt.libvirt.driver",1.0000000327484677,1.0,1.0000000327484677
14,13,"nova.compute, nova.virt","nova.compute.manager, nova.compute.claims, nova.virt.libvirt.driver","nova.compute, nova.virt","nova.compute.manager, nova.compute.claims, nova.virt.libvirt.driver",1.0000000327484677,1.0,1.0000000327484677
14,19,"nova.compute, nova.virt","nova.compute.manager, nova.compute.claims, nova.virt.libvirt.driver","nova.compute, nova.virt","nova.compute.manager, nova.compute.claims, nova.virt.libvirt.driver",1.0000000327484677,1.0,1.0000000327484677
19,13,"nova.compute, nova.virt","nova.compute.manager, nova.compute.claims, nova.virt.libvirt.driver","nova.compute, nova.virt","nova.compute.manager, nova.compute.claims, nova.virt.libvirt.driver",1.0000000327484677,1.0,1.0000000327484677
19,14,"nova.compute, nova.virt","nova.compute.manager, nova.compute.claims, nova.virt.libvirt.driver","nova.compute, nova.virt","nova.compute.manager, nova.compute.claims, nova.virt.libvirt.driver",1.0000000327484677,1.0,1.0000000327484677
9,15,nova.compute,nova.compute.manager,nova.compute,nova.compute.manager,0.7909506997422602,0.5819014310836792,0.46025534409665864
9,8,nova.compute,nova.compute.manager,nova.compute,nova.compute.manager,0.7679588768890531,0.5359176099300385,0.41156268582693795
15,9,nova.compute,nova.compute.manager,nova.compute,nova.compute.manager,0.7909506997422602,0.5819014310836792,0.46025534409665864
8,9,nova.compute,nova.compute.manager,nova.compute,nova.compute.manager,0.7679588768890531,0.5359176099300385,0.41156268582693795
